Subject,Predicate,Object
sits:item_board_game,schema:sameAs,https://boardgamegeek.com/boardgame/22938/justinian-intrigue-at-the-emperors-court
sits:item_board_game,schema:name,"""Justinian: Intrigue at the Emperor’s Court"" "
sits:item_board_game,schema:designer,ex:LeoColovini
sits:item_board_game,schema:designer,ex:AlessandroSaragosa
sits:item_board_game,schema:publisher,ex:PhalanxGames 
sits:item_board_game,schema:publisher,ex:MayfairGames 
sits:item_board_game,schema:datePublished,"""2006""^^xsd:gYear "
sits:item_board_game,schema:illustrator,ex:HaraldLieske
sits:item_board_game,schema:numberOfPlayers ,"“2–4 players"""
sits:item_board_game,schema:timeRequired,"""PT45M"""
sits:item_board_game,schema:gameMechanics,"""Bluffing"""
sits:item_board_game,schema:gameMechanics,"""Influence"""
sits:item_board_game,schema:gameMechanics,"""Betting"""
sits:item_board_game,schema:hasPart,"""Game board"""
sits:item_board_game,schema:hasPart,"""Tokens"""
sits:item_board_game,schema:hasPart,"""Cards"""
sits:item_board_game,schema:hasPart,"""Box"""
