Subject,Predicate,Object
Justinian Epic Symphony,Taken from,https://www.youtube.com/watch?v=E6zzpya2FT4
Justinian Epic Symphony,has title,Justinian Epic Symphony
Justinian Epic Symphony,has subject,Justinian I
Justinian Epic Symphony,has composer,Farya Faraji
Justinian Epic Symphony,has release date,2023
Justinian Epic Symphony,has format,Audio recording
Justinian Epic Symphony,has format,Video upload
Justinian Epic Symphony,has duration,Approximately 1 hour 12 minutes
Justinian Epic Symphony,has language,Latin
Justinian Epic Symphony,has language,Greek
Justinian Epic Symphony,has instrumentation note,Period and court-style instruments (circa year 1000)
Justinian Epic Symphony,distributed on,YouTube
Justinian Epic Symphony,distributed on,Apple Music
Justinian Epic Symphony,distributed on,SoundCloud
Justinian Epic Symphony,has YouTube ID,E6zzpya2FT4
