Subject,Predicate,Object
"Theodora, slave empress",taken from,https://www.imdb.com/title/tt0047567/
"Theodora, slave empress",has original title,"Teodora, l'imperatrice di Bisanzio"
"Theodora, slave empress",has release year,1954
"Theodora, slave empress",has type,Film
"Theodora, slave empress",directed by,Riccardo Freda
"Theodora, slave empress",produced in,Italy
"Theodora, slave empress",has language,Italian
"Theodora, slave empress",depicts,Theodora
"Theodora, slave empress",has genre,Historical drama
"Theodora, slave empress",has actor,Gianna Maria Canale
