Subject,Predicate,Object
sits:item_board_game,schema:url,<https://boardgamegeek.com/boardgame/22938/justinian-intrigue-at-the-emperors-court>
sits:item_board_game,schema:name,"""Justinian: Intrigue at the Emperor’s Court"" "
sits:item_board_game,schema:creator,"ex:LeoColovini , ex:AlessandroSaragosa"
sits:item_board_game,schema:publisher,"ex:PhalanxGames , ex:MayfairGames "
sits:item_board_game,schema:datePublished,"""2006""^^xsd:gYear "
sits:item_board_game,Has artistschema:illustrator,ex:HaraldLieske
sits:item_board_game,schema:numberOfPlayers ,"“2–4 players"""
sits:item_board_game,schema:timeRequired,"""PT45M"""
sits:item_board_game,schema:gameMechanics,"“Bluffing; Influence; Betting"""
sits:item_board_game,schema:material,"""Game board; Tokens; Cards; Box"""
