Subject,Predicate,Object
sits:item_movie,schema:url,<https://www.imdb.com/title/tt0047567/>
sits:item_movie,schema:name,"""Theodora"""
sits:item_movie,schema:datePublished,"""1954""^^xsd:gYear"
sits:item_movie,schema:name,a schema:Movie
sits:item_movie,schema:director,ex:RiccardoFreda
sits:item_movie,schema:countryOfOrigin,ex:Italy
sits:item_movie,schema:inLanguage,“It”
sits:item_movie,schema:about,ex:EmpressTheodoraOfByzantium
sits:item_movie,schema:genre,"""Historical drama"""
sits:item_movie,schema:actor,ex:GiannaMariaCanale
