Subject,Predicate,Object
Justinian: Intrigue at the Emperor’s Court,taken from,https://boardgamegeek.com/boardgame/22938/justinian-intrigue-at-the-emperors-court
Justinian: Intrigue at the Emperor’s Court,has title,Justinian: Intrigue at the Emperor’s Court
Justinian: Intrigue at the Emperor’s Court,has designers,Leo Colovini; Alessandro Saragosa
Justinian: Intrigue at the Emperor’s Court,has publisher,Phalanx Games; Mayfair Games
Justinian: Intrigue at the Emperor’s Court,has year published,2006
Justinian: Intrigue at the Emperor’s Court,has artist,Harald Lieske
Justinian: Intrigue at the Emperor’s Court,has player count,2–4 players
Justinian: Intrigue at the Emperor’s Court,has playing time,Approximately 45 minutes
Justinian: Intrigue at the Emperor’s Court,has mechanics,Bluffing; Influence; Betting
Justinian: Intrigue at the Emperor’s Court,has components,Game board; Tokens; Cards; Box
