Subject,Predicate,Object
Civilization,taken from,https://civilization.fandom.com/wiki/Justinian_I
Civilization,has genre,4X Turn-Based Strategy
Civilization,first released in,1991
Civilization,created by,Sid Meier
Civilization,developed by,Firaxis Games
Civilization,published by,2K Games
Civilization,latest main installment,Civilization VII
Civilization,has defining feature,"Progression through Ages (Antiquity, Exploration, Modern)"
Civilization,has victory condition,Economic
Civilization,has features leader,Justinian I
