Subject,Predicate,Object
History of the wars,taken from,https://archive.org/details/procopius0001proc/page/n5/mode/2up
History of the wars,has type,book
History of the wars,has author,Procopius
History of the wars,has title,History of the wars
History of the wars,has publisher,Cambridge : Harvard Univ. Press 
History of the wars,has publication date,1914
History of the wars,has translator,H.B. Bronson
History of the wars,has identifier,procopius0001proc
History of the wars,has OCLC identifier,1256733539
History of the wars,has subject,Justinian
History of the wars,has subject,Byzantine Empire
History of the wars,has subject,The Persian war
History of the wars,has language,English
History of the wars,has language,Greek
