Subject;Predicate;Object
San Vitale Mosaic;taken from;https://catalogo.beniculturali.it/detail/PhotographicHeritage/0800649118
San Vitale Mosaic;has title;Ravenna - San Vitale - Mosaico con Giustiniano e il suo seguito 
San Vitale Mosaic;created in;6th century
San Vitale Mosaic;has time period;Byzantine Empire
San Vitale Mosaic;has type;Mosaic
San Vitale Mosaic;has material;glass, collodion
San Vitale Mosaic;has subject;Justinian I and his entourage
San Vitale Mosaic;portrays;Justinian I
San Vitale Mosaic;portrays;Maximianus of Ravenna
San Vitale Mosaic;portrays;Belisarius
San Vitale Mosaic;located in;Basilica of San Vitale, Ravenna
