Subject,Predicate,Object
"Theodora, slave empress",Taken from,https://www.imdb.com/title/tt0047567/
"Theodora, slave empress",Has title,Theodora
"Theodora, slave empress",Has release year,1954
"Theodora, slave empress",Is a,Film
"Theodora, slave empress",Directed by,Riccardo Freda
"Theodora, slave empress",Produced in,Italy
"Theodora, slave empress",Language,Italian
"Theodora, slave empress",Depicts,Empress Theodora of Byzantium
"Theodora, slave empress",Has genre,Historical drama
"Theodora, slave empress",Stars,Gianna Maria Canale
